OBJECTID,Shape,nid_id,state_id,dam_name,alt_name,dam_type,longitude,latitude,no_structures,other_struct_id,county,town,river_stream,purposes,drinking_water,dam_type_dem,length_ft,ht_ft_est,ht_ft,struct_htft,hyd_htft,spill_wft,spill_htft,spill_max_dft,norm_storac_ft,max_storac_ft,norm_surf_areaac,drn_areasq_mi,sw_max_cfs,outmaxcfs,freshetcfs,hist_hazard,hist_source,hazard,hazard_source,comment,regulated,active,permit_authority,insp_authority,enforce_authority,size,ds_jurisdiction,state_regulatory_agency,fed_regulatory_agency,yr_modified,spill_type,outlet_gates,nearest_city_town,dist_to_city_town,non_fed_on_fed_prop,nrcs,state,fish_passage_modification,fishway_material,other_fish_passage_modification,type_of_removal,removed,regauth,owntype1,owntype2,owntype3,mgmtunit,locstatus,dam_status,dam_no,quad_no,town_no,sbas_no,rbas_no,mbas_no,year_removed,removed_ar,nid_recordid,dam_former_name,stateid,section,county_nid,river,distance,owner_name,owner_type,dam_designer,private_dam,dam_type_nid,core,foundation,purposes_nid,year_completed,year_modified,dam_length,dam_height,year_modified_1,hydraulic_height,nid_height,max_discharge,max_storage,normal_storage,nid_storage,surface_area,drainage_area,eap,inspection_date,inspection_frequency,state_reg_dam,state_reg_agency,spillway_type,spillway_width,outlet_gates_nid,volume,number_of_locks,length_of_locks,width_of_locks,fed_funding,fed_design,fed_construction,fed_regulatory,fed_inspection,fed_operation,fed_owner,fed_other,source_agency,submit_date,url_address,cong_name,party,cong_dist,otherstructureid,numseparatestructures,permittingauthority,inspectionauthority,enforcementauthority,jurisdictionaldam,eap_last_rev_date,dam_atlas_id
2744,"(-72.69723999999997, 42.17385000000007)",MA02365,,,,,-72.69723999999997,42.17385000000007,,,,Westfield,,,,,,,,,,,,,,,,,,,,,,Not Available,,,,,,,,,,,,,,,,,,,MA,,,,,False,Office of Dam Safety,,Municipality,City of Westfield,Water Resources Department,Verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2744
2745,"(-71.93881299999998, 42.079282000000035)",MA02367,,LOWER GORE POND DAM,,,-71.93881299999998,42.079282000000035,,,,Dudley,,,,,,,,,,,,,,,,,,,,,,Significant,,,,,,,,,,,,,,,,,,,MA,,,,,False,Office of Dam Safety,,Municipality,Town of Dudley,Board of Selectmen,Verified,,,,,,,,,,31115.0,,,DUDLEY,,,0.0,"TOWN OF DUDLEY, BOARD OF SELECTMEN",L,,,RE,X,U,O,,,175.0,20.0,,11.0,20.0,,350.0,125.0,350.0,0.19,2.09,NR,2017-06-22,5.0,Y,DEPARTMENT OF CONSERVATION AND RECREATION,U,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,MA,03-JUL-18,,Richard E. Neal (D),D,MA01,,0.0,Y,Y,Y,Y,,2745
2746,"(-72.52354433999994, 42.07765562000003)",MA02368,,,,,-72.52354433999994,42.07765562000003,,,,East Longmeadow,,,,,,,,,,,,,,,,,,,,,,Not Available,,,,,,,,,,,,,,,,,,,MA,,,,,False,Non-Jurisdictional - Other,,Municipality,Town of East Longmeadow,Board of Selectmen,Verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2746
2747,"(-72.50230547999996, 42.25999626000004)",MA02369,,,,,-72.50230547999996,42.25999626000004,,,,Granby,,,,,,,,,,,,,,,,,,,,,,Not Available,,,,,,,,,,,,,,,,,,,MA,,,,,False,Office of Dam Safety,,Municipality,Town of Granby,Conservation Commission,Verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2747
2748,"(-72.16366999999997, 42.08209000000005)",MA02370,,,,,-72.16366999999997,42.08209000000005,,,,Holland,,,,,,,,,,,,,,,,,,,,,,Not Available,,,,,,,,,,,,,,,,,,,MA,,,,,False,Non-Jurisdictional - Other,,Municipality,Town of Holland,Town Hall,Verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2748
2749,"(-72.90973090999995, 42.23488697000005)",MA02371,,,,,-72.90973090999995,42.23488697000005,,,,Blandford,,,,,,,,,,,,,,,,,,,,,,Not Available,,,,,,,,,,,,,,,,,,,MA,,,,,False,Non-Jurisdictional - Other,,Municipality,Town of Huntington,Board of Selectmen,Verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2749
2750,"(-71.57181999999995, 42.09211800000003)",MA02372,,,,,-71.57181999999995,42.09211800000003,,,,Mendon,,,,,,,,,,,,,,,,,,,,,,Not Available,,,,,,,,,,,,,,,,,,,MA,,,,,False,Non-Jurisdictional - Other,,Municipality,Town of Mendon,Board of Selectmen,Verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750
2751,"(-72.38035499999995, 42.176337000000046)",MA02374,,,,,-72.38035499999995,42.176337000000046,,,,Palmer,,,,,,,,,,,,,,,,,,,,,,Not Available,,,,,,,,,,,,,,,,,,,MA,,,,,False,Office of Dam Safety,,Private,Private,,Verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2751
2752,"(-71.92926044999996, 42.30745195000003)",MA02375,,,,,-71.92926044999996,42.30745195000003,,,,Paxton,,,,,,,,,,,,,,,,,,,,,,Not Available,,,,,,,,,,,,,,,,,,,MA,,,,,False,Non-Jurisdictional - Other,,Municipality,Town of Paxton,Board of Selectmen,NOT Verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2752
2753,"(-72.04582565999993, 42.073558140000046)",MA02376,,,,,-72.04582565999993,42.073558140000046,,,,Southbridge,,,,,,,,,,,,,,,,,,,,,,Not Available,,,,,,,,,,,,,,,,,,,MA,,,,,False,Non-Jurisdictional - Other,,Municipality,Town of Southbridge,,NOT Verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2753
