OBJECTID,Shape,nid_id,state_id,dam_name,alt_name,dam_type,longitude,latitude,no_structures,other_struct_id,county,town,river_stream,purposes,drinking_water,dam_type_dem,length_ft,ht_ft_est,ht_ft,struct_htft,hyd_htft,spill_wft,spill_htft,spill_max_dft,norm_storac_ft,max_storac_ft,norm_surf_areaac,drn_areasq_mi,sw_max_cfs,outmaxcfs,freshetcfs,hist_hazard,hist_source,hazard,hazard_source,comment,regulated,active,permit_authority,insp_authority,enforce_authority,size,ds_jurisdiction,state_regulatory_agency,fed_regulatory_agency,yr_modified,spill_type,outlet_gates,nearest_city_town,dist_to_city_town,non_fed_on_fed_prop,nrcs,state,fish_passage_modification,fishway_material,other_fish_passage_modification,type_of_removal,removed,regauth,owntype1,owntype2,owntype3,mgmtunit,locstatus,dam_status,dam_no,quad_no,town_no,sbas_no,rbas_no,mbas_no,year_removed,removed_ar,nid_recordid,dam_former_name,stateid,section,county_nid,river,distance,owner_name,owner_type,dam_designer,private_dam,dam_type_nid,core,foundation,purposes_nid,year_completed,year_modified,dam_length,dam_height,year_modified_1,hydraulic_height,nid_height,max_discharge,max_storage,normal_storage,nid_storage,surface_area,drainage_area,eap,inspection_date,inspection_frequency,state_reg_dam,state_reg_agency,spillway_type,spillway_width,outlet_gates_nid,volume,number_of_locks,length_of_locks,width_of_locks,fed_funding,fed_design,fed_construction,fed_regulatory,fed_inspection,fed_operation,fed_owner,fed_other,source_agency,submit_date,url_address,cong_name,party,cong_dist,otherstructureid,numseparatestructures,permittingauthority,inspectionauthority,enforcementauthority,jurisdictionaldam,eap_last_rev_date,dam_atlas_id
1,"(-72.79115165399998, 41.75477043300003)",CT00002,,HARTFORD RESERVOIR #3 DAM,HARTFORD RESERVOIR #3,,-72.79115165399998,41.75477043300003,,,,West Hartford,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,15509.0,36.0,155.0,4403.0,44.0,4.0,,,7395.0,,,WEST HARTFORD,HARTFORD,UNNAMED TRIBUTARY OF TROUT BROOK,1.0,METROPOLITAN DISTRICT COMMISSION,U,,N,RE,,,S,,,500.0,41.0,,,41.0,946.0,487.0,338.0,487.0,25.0,0.5,N,2014-11-04,2.0,Y,DEEP,,25.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,S01,2.0,Y,Y,Y,Y,10-MAR-16,1
2,"(-72.79115165399998, 41.75477043300003)",CT00002,,HARTFORD RESERVOIR #3 DIKE,HARTFORD RESERVOIR #3,,-72.79115165399998,41.75477043300003,,,,West Hartford,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,15509.0,36.0,155.0,4403.0,44.0,4.0,,,7396.0,,,WEST HARTFORD,HARTFORD,,0.0,METROPOLITAN DISTRICT COMMISSION,U,,N,RE,,,,,,675.0,,,,0.0,,,0.0,0.0,,,Y,2014-11-04,2.0,Y,DEEP,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,S02,2.0,Y,Y,Y,Y,,2
3,"(-72.78768081599998, 41.76082033100005)",CT00002,,HARTFORD RESERVOIR #3 DAM,HARTFORD RESERVOIR #3,,-72.78768081599998,41.76082033100005,,,,West Hartford,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,15539.0,0.0,155.0,4403.0,44.0,4.0,,,7395.0,,,WEST HARTFORD,HARTFORD,UNNAMED TRIBUTARY OF TROUT BROOK,1.0,METROPOLITAN DISTRICT COMMISSION,U,,N,RE,,,S,,,500.0,41.0,,,41.0,946.0,487.0,338.0,487.0,25.0,0.5,N,2014-11-04,2.0,Y,DEEP,,25.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,S01,2.0,Y,Y,Y,Y,10-MAR-16,3
4,"(-72.78768081599998, 41.76082033100005)",CT00002,,HARTFORD RESERVOIR #3 DIKE,HARTFORD RESERVOIR #3,,-72.78768081599998,41.76082033100005,,,,West Hartford,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,15539.0,0.0,155.0,4403.0,44.0,4.0,,,7396.0,,,WEST HARTFORD,HARTFORD,,0.0,METROPOLITAN DISTRICT COMMISSION,U,,N,RE,,,,,,675.0,,,,0.0,,,0.0,0.0,,,Y,2014-11-04,2.0,Y,DEEP,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,S02,2.0,Y,Y,Y,Y,,4
5,"(-72.78424431999997, 41.767514720000065)",CT00003,,HARTFORD RESERVOIR #2 DAM,HARTFORD RESERVOIR #2,,-72.78424431999997,41.767514720000065,,,,West Hartford,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,15508.0,36.0,155.0,4403.0,44.0,4.0,,,7397.0,,,WEST HARTFORD,HARTFORD,UNNAMED,1.0,METROPOLITAN DISTRICT COMMISSION,U,,N,RE,,,S,,,1425.0,32.0,,,32.0,1540.0,1140.0,870.0,1140.0,53.8,1.2,N,2017-12-16,2.0,Y,DEEP,,54.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,,0.0,Y,Y,Y,Y,10-MAR-16,5
6,"(-72.78370026999994, 41.755769024000074)",CT00004,,HARTFORD RESERVOIR #5 DAM,HARTFORD RESERVOIR #5,,-72.78370026999994,41.755769024000074,,,,West Hartford,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,15510.0,36.0,155.0,4403.0,44.0,4.0,,,7398.0,,,WEST HARTFORD,HARTFORD,UNNAMED,2.0,METROPOLITAN DISTRICT COMMISSION,U,,N,RE,,,S,,,550.0,24.0,,,24.0,2330.0,301.0,156.0,301.0,26.0,1.1,N,2017-06-23,2.0,Y,DEEP,U,62.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,S01,2.0,Y,Y,Y,Y,10-MAR-16,6
7,"(-72.78370026999994, 41.755769024000074)",CT00004,,HARTFORD RESERVOIR #5 DIKE (ALSO SEE #15510),HARTFORD RESERVOIR #5,,-72.78370026999994,41.755769024000074,,,,West Hartford,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,15510.0,36.0,155.0,4403.0,44.0,4.0,,,7399.0,,,WEST HARTFORD,HARTFORD,,0.0,METROPOLITAN DISTRICT COMMISSION,U,,N,,,,,,,315.0,9.0,,,9.0,,301.0,156.0,301.0,,1.1,N,2017-06-23,2.0,Y,DEEP,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,S02,2.0,Y,Y,Y,Y,,7
8,"(-72.78164699999996, 41.75942100000003)",CT00004,,HARTFORD RESERVOIR #5 DAM,HARTFORD RESERVOIR #5,,-72.78164699999996,41.75942100000003,,,,West Hartford,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,15540.0,0.0,155.0,4403.0,44.0,4.0,,,7398.0,,,WEST HARTFORD,HARTFORD,UNNAMED,2.0,METROPOLITAN DISTRICT COMMISSION,U,,N,RE,,,S,,,550.0,24.0,,,24.0,2330.0,301.0,156.0,301.0,26.0,1.1,N,2017-06-23,2.0,Y,DEEP,U,62.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,S01,2.0,Y,Y,Y,Y,10-MAR-16,8
9,"(-72.78164699999996, 41.75942100000003)",CT00004,,HARTFORD RESERVOIR #5 DIKE (ALSO SEE #15510),HARTFORD RESERVOIR #5,,-72.78164699999996,41.75942100000003,,,,West Hartford,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,15540.0,0.0,155.0,4403.0,44.0,4.0,,,7399.0,,,WEST HARTFORD,HARTFORD,,0.0,METROPOLITAN DISTRICT COMMISSION,U,,N,,,,,,,315.0,9.0,,,9.0,,301.0,156.0,301.0,,1.1,N,2017-06-23,2.0,Y,DEEP,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,S02,2.0,Y,Y,Y,Y,,9
10,"(-72.94814809999997, 41.64380064800008)",CT00006,,JACKLIN LAKE DAM,JACKLIN LAKE AKA DUNHAM MILLPOND,,-72.94814809999997,41.64380064800008,,,,Bristol,,,,,,,,,,,,,,,,,,,,,,Significant,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,1733.0,0.0,0.0,4315.0,43.0,15.0,,,7402.0,,,BRISTOL,HARTFORD,PEQUABUCK RIVER TRIB,0.0,JACKLIN ROD & GUN CLUB,P,USDA NRCS,N,RE,,,R,,,300.0,12.0,,,12.0,,,143.0,143.0,27.5,0.19,Y,2014-05-13,5.0,Y,DEEP,,45.0,,0.0,0.0,0.0,0.0,,USDA NRCS,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,,2.0,Y,Y,Y,Y,03-FEB-17,10
11,"(-72.94814809999997, 41.64380064800008)",CT00006,,JACKLIN LAKE WILLIS STREET DIKE,JACKLIN LAKE AKA DUNHAM MILLPOND,,-72.94814809999997,41.64380064800008,,,,Bristol,,,,,,,,,,,,,,,,,,,,,,Significant,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,1733.0,0.0,0.0,4315.0,43.0,15.0,,,7403.0,,,BRISTOL,HARTFORD,CUSSGUTTER BROOK,0.0,JACKLIN ROD & GUN CLUB,P,,N,,HEZ,SZ,,,,360.0,12.0,,,12.0,,,143.0,143.0,27.5,0.19,Y,2014-05-13,5.0,Y,DEEP,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,S02,2.0,Y,Y,Y,Y,,11
12,"(-72.47633328299997, 41.790889830000026)",CT00007,,WILSON BROOK DETENTION DAM,WILSON BROOK DETENTION BASIN,,-72.47633328299997,41.790889830000026,,,,Manchester,,,,,,,,,,,,,,,,,,,,,,Significant,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,7727.0,39.0,77.0,4500.0,45.0,4.0,,,7404.0,,,MANCHESTER,HARTFORD,WILSON BROOK,0.0,TOWN OF MANCHESTER,L,,N,RE,HEK,SZ,C,,,345.0,20.0,,,20.0,1956.0,105.0,0.0,105.0,8.8,0.94,Y,2014-10-09,5.0,Y,DEEP,U,18.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,,0.0,Y,Y,Y,Y,01-JUL-17,12
13,"(-72.98957877299995, 41.676813055000025)",CT00008,,BRISTOL RESERVOIR #1 DAM,BRISTOL RESERVOIR NO 1,,-72.98957877299995,41.676813055000025,,,,Bristol,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,1706.0,50.0,17.0,4315.0,43.0,4.0,,,7405.0,,,BRISTOL,HARTFORD,TRIBUTARY TO PEQUABUCK RIVER,1.0,CITY OF BRISTOL,L,,N,RE,,,S,,,250.0,25.0,,,25.0,200.0,348.0,348.0,348.0,33.0,0.43,Y,2015-05-22,2.0,Y,DEEP,,12.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,,0.0,Y,Y,Y,Y,01-AUG-17,13
14,"(-72.58499187699994, 41.78274337600004)",CT00009,,LAUREL LAKE DAM,LAUREL LAKE,,-72.58499187699994,41.78274337600004,,,,East Hartford,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Breached,4303.0,38.0,43.0,4500.0,45.0,4.0,,,7406.0,,,EAST HARTFORD,HARTFORD,HOCKANUM RIVER,0.0,TOWN OF EAST HARTFORD,L,,N,MSRE,,,O,,,85.0,13.0,,,13.0,,,420.0,420.0,105.0,73.4,NR,,0.0,Y,DEEP,,42.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,,0.0,Y,Y,Y,Y,,14
15,"(-72.50459834099996, 41.79502533800007)",CT00010,,LYDALL POND #1 DAM,SALTERS POND,,-72.50459834099996,41.79502533800007,,,,Manchester,,,,,,,,,,,,,,,,,,,,,,Significant,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,7710.0,38.0,77.0,4500.0,45.0,4.0,,,7407.0,,,MANCHESTER,HARTFORD,LYDALL BROOK,0.0,TOWN OF MANCHESTER,L,,N,CNRE,,,R,,,150.0,12.0,,,12.0,1200.0,64.0,64.0,64.0,9.2,3.96,NR,2014-10-07,7.0,Y,DEEP,U,75.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,,0.0,Y,Y,Y,Y,,15
16,"(-72.51506230999996, 41.75636031400006)",CT00012,,GLOBE HOLLOW RESERVOIR DAM,GLOBE HOLLOW RESERVOIR,,-72.51506230999996,41.75636031400006,,,,Manchester,,,,,,,,,,,,,,,,,,,,,,Significant,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,7701.0,38.0,77.0,4504.0,45.0,4.0,,,7408.0,,,MANCHESTER,HARTFORD,HOP BROOK,1.0,TOWN OF MANCHESTER,L,,N,RE,,,S,,1989,700.0,40.0,,,40.0,2120.0,842.0,545.0,842.0,45.0,2.2,Y,2014-10-09,5.0,Y,DEEP,,33.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,,0.0,Y,Y,Y,Y,01-JUL-17,16
17,"(-72.52831122599997, 41.79984540300006)",CT00013,,UNION POND DAM,UNION POND,,-72.52831122599997,41.79984540300006,,,,Manchester,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,7706.0,38.0,77.0,4500.0,45.0,4.0,,,7409.0,,,MANCHESTER,HARTFORD,HOCKANUM RIVER,1.0,TOWN OF MANCHESTER,L,,N,CN,IMZ,RSZ,R,,,590.0,33.0,,,33.0,8400.0,720.0,515.0,720.0,51.5,53.9,Y,2016-08-19,2.0,Y,DEEP,,298.0,S,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,,0.0,Y,Y,Y,Y,01-JUN-17,17
18,"(-72.48617844699999, 41.776107885000044)",CT00014,,PORTER RESERVOIR DAM,PORTER RESERVOIR,,-72.48617844699999,41.776107885000044,,,,Manchester,,,,,,,,,,,,,,,,,,,,,,Significant,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,7702.0,39.0,77.0,4504.0,45.0,4.0,,,7410.0,,,MANCHESTER,HARTFORD,PORTER BROOK TRIB,1.0,TOWN OF MANCHESTER,L,,N,RE,IXZ,UZ,S,,1986,600.0,32.0,,,32.0,970.0,100.0,45.0,100.0,7.8,,Y,2014-10-09,5.0,Y,DEEP,U,20.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,,0.0,Y,Y,Y,Y,01-JUL-17,18
19,"(-72.47809704899998, 41.77160548900008)",CT00015,,HOWARD RESERVOIR DAM,HOWARD RESERVOIR,,-72.47809704899998,41.77160548900008,,,,Manchester,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,7703.0,39.0,77.0,4504.0,45.0,4.0,,,7411.0,,,MANCHESTER,HARTFORD,PORTER BROOK,2.0,TOWN OF MANCHESTER,L,,N,MSOTRE,IMK,RSZ,S,,1989,710.0,44.0,,,44.0,967.0,478.0,329.0,478.0,17.9,0.86,Y,2017-11-15,2.0,Y,DEEP,U,10.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,,0.0,Y,Y,Y,Y,03-FEB-17,19
20,"(-73.26050501299994, 41.182600026000046)",CT00017,,SAMP MORTAR RESERVOIR DAM,LAKE HILLS DAM,,-73.26050501299994,41.182600026000046,,,,Fairfield,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,5103.0,108.0,51.0,7108.0,71.0,7.0,,,7412.0,,,FAIRFIELD,FAIRFIELD,MILL RIVER,0.0,"LAKE HILLS ASSOCIATION, INC.",P,,N,CNRE,HCK,RZ,R,,2002,320.0,29.0,,,29.0,5270.0,588.0,333.0,588.0,40.0,24.2,Y,2018-01-21,2.0,Y,DEEP,U,185.0,S,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,James A. Himes (D),D,CT04,,0.0,Y,Y,Y,Y,13-MAR-18,20
21,"(-73.28144890299995, 41.20779023500006)",CT00018,,HEMLOCK RESERVOIR DAM,HEMLOCK RESERVOIR,,-73.28144890299995,41.20779023500006,,,,Fairfield,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,5105.0,108.0,51.0,7107.0,71.0,7.0,,,7413.0,,,FAIRFIELD,FAIRFIELD,CRICKER BROOK,2.0,AQUARION WATER COMPANY OF CONNECTICUT,U,,N,MSRE,,,S,,,1100.0,75.0,,,75.0,4670.0,11635.0,0.0,11635.0,437.0,5.3,Y,2014-10-10,2.0,Y,DEEP,,116.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,James A. Himes (D),D,CT04,,0.0,Y,Y,Y,Y,13-APR-17,21
22,"(-73.29771279799996, 41.13847165400006)",CT00019,,BUCKLEY POND DAM (ALSO #15807),SASCO MILL; BUCKLEY POND,,-73.29771279799996,41.13847165400006,,,,Fairfield,,,,,,,,,,,,,,,,,,,,,,Significant,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,5106.0,108.0,51.0,7109.0,71.0,7.0,,,7414.0,,,FAIRFIELD,FAIRFIELD,SASCO BROOK,0.0,"WESTPORT DESIGN CENTER, LLC",P,,N,CN,,,R,,,110.0,15.0,,,15.0,51.0,55.0,55.0,55.0,9.2,8.54,NR,1987-01-10,7.0,Y,DEEP,,6.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,James A. Himes (D),D,CT04,,0.0,Y,Y,Y,Y,,22
23,"(-73.25592570799995, 41.248975759000075)",CT00020,,EASTON RESERVOIR DAM,EASTON RESERVOIR,,-73.25592570799995,41.248975759000075,,,,Easton,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,4601.0,108.0,46.0,7108.0,71.0,7.0,,,7415.0,,,EASTON,FAIRFIELD,MILL RIVER,2.0,AQUARION WATER COMPANY OF CONNECTICUT,U,,N,CN,HCK,RK,S,,,1040.0,123.0,,,123.0,4400.0,36000.0,36000.0,36000.0,488.0,12.8,Y,2014-10-10,2.0,Y,DEEP,U,100.0,S,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,James A. Himes (D),D,CT04,,0.0,Y,Y,Y,Y,13-APR-17,23
24,"(-73.31887486899996, 41.235656093000046)",CT00021,,ASPETUCK RESERVOIR DAM,ASPETUCK RESERVOIR,,-73.31887486899996,41.235656093000046,,,,Easton,,,,,,,,,,,,,,,,,,,,,,Significant,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,4602.0,108.0,46.0,7202.0,72.0,7.0,,,7416.0,,,EASTON,FAIRFIELD,ASPETUCK RIVER,7.0,AQUARION WATER COMPANY OF CONNECTICUT,U,,N,RE,ICK,UZ,S,,1986,1180.0,11.0,,,11.0,,413.0,202.0,413.0,63.0,17.6,Y,2014-10-10,5.0,Y,DEEP,U,500.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,James A. Himes (D),D,CT04,,0.0,Y,Y,Y,Y,10-MAY-17,24
25,"(-73.06824988299996, 41.34799929900004)",CT00024,,QUILLINAN RESERVOIR DAM,QUILLINAN RESERVOIR,,-73.06824988299996,41.34799929900004,,,,Ansonia,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,201.0,94.0,2.0,6900.0,69.0,6.0,,,7418.0,,,ANSONIA,NEW HAVEN,BEAVER BROOK,1.0,CONNECTICUT DEEP,S,,N,CNMSRE,,,R,,1991,575.0,19.0,,,19.0,,,0.0,0.0,12.0,2.67,Y,2015-04-15,2.0,Y,DEEP,U,34.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,Rosa L. DeLauro (D),D,CT03,,0.0,Y,Y,Y,Y,06-MAY-16,25
26,"(-73.09911851899994, 41.35603578200005)",CT00025,,FOUNTAIN LAKE DAM,FOUNTAIN LAKE,,-73.09911851899994,41.35603578200005,,,,Ansonia,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,202.0,94.0,2.0,6900.0,69.0,6.0,,,7419.0,,,ANSONIA,NEW HAVEN,NAUGATUCK RIVER TRIBUTARY,2.0,CITY OF ANSONIA,L,,N,CNMSRE,,,R,,,300.0,15.0,,,15.0,138.0,72.0,63.0,72.0,5.5,0.17,Y,2018-05-21,2.0,Y,DEEP,U,10.0,V,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,Rosa L. DeLauro (D),D,CT03,,0.0,Y,Y,Y,Y,02-DEC-17,26
27,"(-73.07427043999996, 41.31966768700005)",CT00027,,LOWER ANSONIA RESERVOIR DAM,LOWER DERBY HILL RESERVOIR,,-73.07427043999996,41.31966768700005,,,,Derby,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,3702.0,94.0,37.0,6900.0,69.0,6.0,,,7424.0,,,DERBY,NEW HAVEN,NAUGATUCK RIVER TRIB,1.0,CITY OF DERBY,L,,N,RE,,,S,,,423.0,17.8,,,17.8,210.0,90.0,71.0,90.0,9.6,0.56,Y,2015-08-05,2.0,Y,DEEP,,20.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,Rosa L. DeLauro (D),D,CT03,,0.0,Y,Y,Y,Y,30-JUN-17,27
28,"(-73.10068169299996, 41.33508802000006)",CT00028,,PICKETTS POND DAM,PICKETTS POND,,-73.10068169299996,41.33508802000006,,,,Derby,,,,,,,,,,,,,,,,,,,,,,Significant,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,3703.0,94.0,37.0,6000.0,60.0,6.0,,,7425.0,,,DERBY,NEW HAVEN,UNNAMED,0.0,CONNECTICUT DEEP,S,,N,MSRE,,,R,,,100.0,3.0,,,3.0,,29.0,29.0,29.0,8.3,1.75,Y,1985-12-17,5.0,Y,DEEP,,6.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,Rosa L. DeLauro (D),D,CT03,,0.0,Y,Y,Y,Y,05-JAN-05,28
29,"(-73.07287231999999, 41.32215473200006)",CT00029,,UPPER ANSONIA RESERVOIR EAST DIKE (SEE 3704),UPPER DERBY HILL RESERVOIR,,-73.07287231999999,41.32215473200006,,,,Derby,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,3704.0,94.0,37.0,6900.0,69.0,6.0,,,7426.0,,,DERBY,NEW HAVEN,,0.0,CITY OF DERBY,L,,N,MSRE,,RSZ,,,,345.0,12.0,,,12.0,,,0.0,0.0,,,N,2015-08-05,2.0,Y,DEEP,,0.0,X,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,Rosa L. DeLauro (D),D,CT03,S02,2.0,Y,Y,Y,Y,30-JUN-82,29
30,"(-73.07287231999999, 41.32215473200006)",CT00029,,UPPER ANSONIA RESERVOIR DAM,UPPER DERBY HILL RESERVOIR,,-73.07287231999999,41.32215473200006,,,,Derby,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,3704.0,94.0,37.0,6900.0,69.0,6.0,,,7427.0,,,DERBY,NEW HAVEN,NAUGATUCK RIVER TRIB,1.0,CITY OF DERBY,L,,N,MS,,,S,,,345.0,20.8,,,20.8,240.0,310.0,196.0,310.0,34.0,0.43,N,2015-08-05,2.0,Y,DEEP,,21.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,Rosa L. DeLauro (D),D,CT03,S01,2.0,Y,Y,Y,Y,30-JUN-82,30
31,"(-73.00649035899994, 41.54962934900004)",CT00030,,MAD RIVER DAM HOMESTEAD AVENUE DAM,MAD RIVER,,-73.00649035899994,41.54962934900004,,,,Waterbury,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,15102.0,64.0,151.0,6914.0,69.0,6.0,,,7428.0,,,WATERBURY,NEW HAVEN,MAD RIVER,2.0,DEANGELIS,P,,N,CNRE,,,S,,,492.0,31.0,,,31.0,4860.0,110.0,56.0,110.0,6.0,17.4,N,2012-11-20,2.0,Y,DEEP,,60.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,Jahana Hayes (D),D,CT05,,0.0,Y,Y,Y,Y,05-JAN-05,31
32,"(-73.01440392199999, 41.53908230400003)",CT00031,,EAST BRASS MILL DAM,SCOVILL AKA CENTURY BRASS AKA CITY MILLS,,-73.01440392199999,41.53908230400003,,,,Waterbury,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Breached,15103.0,64.0,151.0,6914.0,69.0,6.0,,,7429.0,,,WATERBURY,NEW HAVEN,MAD RIVER,0.0,CENTURY BRASS PRODUCTS INC.,P,,N,CNRE,,,S,,,420.0,25.0,,,25.0,4000.0,180.0,120.0,180.0,12.0,23.7,Y,,0.0,Y,DEEP,,101.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,Jahana Hayes (D),D,CT05,,0.0,Y,Y,Y,Y,,32
33,"(-73.00604088499995, 41.528819422000026)",CT00032,,EAST MOUNTAIN RESERVOIR DAM,EAST MOUNTAIN RESERVOIR,,-73.00604088499995,41.528819422000026,,,,Waterbury,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,15104.0,64.0,151.0,6913.0,69.0,6.0,,,7430.0,,,WATERBURY,NEW HAVEN,EAST MOUNTAIN BROOK,3.0,CITY OF WATERBURY,L,,N,CNRE,ICK,UZ,R,,,400.0,35.0,,,35.0,,580.0,420.0,580.0,36.0,0.57,Y,2016-09-16,2.0,Y,DEEP,U,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,Rosa L. DeLauro (D),D,CT03,,0.0,Y,Y,Y,Y,17-FEB-17,33
